"","text_prepared.1","text_prepared.2","text_prepared.3","text_prepared.4","text_prepared.5","text_prepared.6","text_prepared.7","text_prepared.8","text_prepared.9","text_prepared.10","text_prepared.11","text_prepared.12","text_prepared.13","text_prepared.14","text_prepared.15","text_prepared.16","text_prepared.17","text_prepared.18","text_prepared.19","text_prepared.20","text_prepared.21","text_prepared.22","text_prepared.23","text_prepared.24","text_prepared.25","text_prepared.26","text_prepared.27","text_prepared.28","text_prepared.29","text_prepared.30","text_prepared.31","text_prepared.32","text_prepared.33","text_prepared.34","text_prepared.35","text_prepared.36","text_prepared.37","text_prepared.38","text_prepared.39","text_prepared.40","text_prepared.41","text_prepared.42","text_prepared.43","text_prepared.44","text_prepared.45","text_prepared.46","text_prepared.47","text_prepared.48","text_prepared.49","text_prepared.50","text_prepared.51","text_prepared.52","text_prepared.53","text_prepared.54","labels"
"labels12",295,1,1793,11,10,1586,3,144,323,4253,27,1155,129,44,11,1,3770,477,4,286,1,258,5,324,2,878,2,907,403,5,59,17,1192,1,768,83,558,5,12,2311,5,48,9,22,1101,3,4140,8,622,258,2,4601,2,9198,0
"labels13",2,1106,1,74,4728,3,1682,3,2,130,59,18,36,52,26,11,97,60,161,546,22,1247,37,2298,4,3806,2877,5,1,83,2,47,1,109,10,9,22,88,5,20,9,22,621,237,1212,9,22,9351,27,91,1853,179,36,549,0
"labels14",0,0,0,0,0,0,0,0,0,0,0,2,10,32,748,1,8570,368,41,475,21,181,21,1727,150,31,3,4360,477,8,1,36,56,4,893,2,23,273,104,9,896,5189,272,1,293,877,3,1,286,101,1,36,56,638,1
"labels15",896,5189,272,1,293,877,3,1,286,101,1,36,56,638,5,1,221,315,63,851,1,293,877,3,1,286,11,72,138,310,318,1340,10,18,72,138,310,5,340,829,60,257,26,226,5,1,374,63,4,1,7921,36,56,638,1
"labels16",286,11,72,138,310,318,1340,10,18,72,138,310,5,340,829,60,257,26,226,5,1,374,63,4,1,7921,36,56,638,10,11,10969,1,89,37,1,291,4,6,20,10,11,2801,3,11453,1,41,475,4,59,4,23,584,187,1
"labels17",63,4,1,7921,36,56,638,10,11,10969,1,89,37,1,291,4,6,20,10,11,2801,3,11453,1,41,475,4,59,4,23,584,187,5,722,57,9,896,1881,6,469,42,111,36,225,10,18,877,3,408,24,1123,3,199,145,1
"labels18",59,4,23,584,187,5,722,57,9,896,1881,6,469,42,111,36,225,10,18,877,3,408,24,1123,3,199,145,5307,9,22,2474,1,1095,4,293,877,3,36,2,468,165,9,896,2474,10,21,6,662,4,1,842,4,1,611,1
"labels19",42,111,36,225,10,18,877,3,408,24,1123,3,199,145,5307,9,22,2474,1,1095,4,293,877,3,36,2,468,165,9,896,2474,10,21,6,662,4,1,842,4,1,611,2,43,546,2594,1,40,4,5836,5,1,2828,36,657,1
"labels20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,6,662,4,5836,18,242,10,4672,11,201,24,60,72,138,2,5,25,846,9,896,1306,6,42,225,8,4345,3820,1123,8,24,318,619,1884,1
"labels21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,25,846,9,896,1306,6,42,225,8,4345,3820,1123,8,24,318,619,1884,8,19,612,8,1,677,203,674,2,9584,1
"labels22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,19,612,8,1,677,203,674,2,9584,2,8,3583,56,2,2232,5,1,846,546,1090,16,5976,322,242,4,218,3,1177,193,1,119,69,1
"labels23",0,0,0,0,0,0,0,0,0,0,0,2,8,3583,56,2,2232,5,1,846,546,1090,16,5976,322,242,4,218,3,1177,193,1,119,69,546,976,282,2029,7693,2,7694,59,32,734,6,97,550,8,1,214,845,7226,8499,5066,1
"labels24",0,0,0,0,0,0,0,0,0,546,976,282,2029,7693,2,7694,59,32,734,6,97,550,8,1,214,845,7226,8499,5066,972,18,2619,6,491,951,8,59,33,237,698,1358,144,5813,972,18,6840,47,1,983,4,1,494,873,1089,0
"labels25",542,411,95,9,215,38,877,3,4022,1,2979,539,1053,1,227,160,3,59,4,10,4498,11,2128,2188,2384,10406,9,215,38,877,3,2405,891,59,18,531,4,300,1053,9,613,1,227,160,3,119,131,2,119,77,4,10,617,300,0
"labels26",39,17,322,4,1,150,242,8,1,107,44,22,88,1306,15,1,20,627,1,374,754,95,546,201,276,3,1442,3,6,204,4,145,44,17,49,698,283,3,59,18,107,2,445,283,3,59,18,104,5,888,2211,4,23,433,0
"labels27",1,20,627,1,374,754,95,546,201,276,3,1442,3,6,204,4,145,44,17,49,698,283,3,59,18,107,2,445,283,3,59,18,104,5,888,2211,4,23,433,223,1396,312,8863,104,11,649,1,140,12619,1352,10,25,268,32,0
"labels28",0,0,0,9,3898,115,3,1,178,46,776,5,2,4865,4253,27,1,46,438,942,115,4,178,255,5,374,63,18,19,46,52,2,598,546,630,2498,6,107,523,20,3,205,1141,5,1,46,52,78,690,21,26,8987,3,104,1
"labels29",4602,1,3294,37,5342,226,38,5,371,40,2745,3,1,2623,95,39,649,670,272,1297,14,1,2623,4,23,102,177,9,7,1133,101,25,66,709,6,430,948,4,8,284,227,63,8,6,1530,50,5742,380,60,5,1,1181,1143,63,1
"labels30",227,63,8,6,1530,50,5742,380,60,5,1,1181,1143,63,1,2575,7,218,190,104,5,1,102,63,2,21,770,105,8,315,57,318,1,2977,11,2080,1,104,2549,15,25,2575,7,2281,33,190,33,1,207,4,1,315,63,851,1
"labels31",11,283,3,28,4,250,2,26,32,88,2331,10,32,841,1796,3,3447,257,2322,4,238,9,17,2,10,11,1,56,4,1,1706,193,12,69,956,946,26,18,2331,9,22,2710,6,3041,190,27,1,51,128,47,1,374,1186,57,0
"labels32",6,3041,205,60,3937,10,32,88,1117,15,1,119,51,128,2,1636,250,102,4,28,11118,2426,10,146,9,2162,3,453,51,734,860,361,741,56,290,15,1127,342,55,15,7476,315,72,138,5,1,374,369,57,3,151,42,6,63,1
"labels33",146,9,2162,3,453,51,734,860,361,741,56,290,15,1127,342,55,15,7476,315,72,138,5,1,374,369,57,3,151,42,6,63,1,523,5,1,109,26,18,88,5,20,32,272,304,5,1,94,15,2,12,73,667,17,135,1
"labels34",0,0,0,0,0,0,0,0,0,0,1,523,5,1,109,26,18,88,5,20,32,272,304,5,1,94,15,2,12,73,667,17,135,222,2,56,258,22,622,2,6,342,3295,4,322,115,32,88,2783,47,1,1065,57,3,1
"labels35",0,0,0,0,0,0,0,0,0,0,0,222,2,56,258,22,622,2,6,342,3295,4,322,115,32,88,2783,47,1,1065,57,3,5,25,846,9,17,5976,6,42,780,4,244,55,3,62,24,600,24,342,612,2,97,56,1
"labels36",57,3,636,644,3,357,1,2264,2,73,496,217,4,12,310,258,9,7,49,1088,6,210,4,1,736,2,2895,974,5425,1233,56,2773,101,1,523,18,242,1,796,204,4,270,741,56,600,7,436,27,190,598,3,820,15,2390,1
"labels37",0,0,0,0,0,0,0,0,0,0,0,9,7,49,1088,6,210,4,1,736,2,2895,974,5425,1233,56,2773,101,1,523,18,242,1,796,204,4,270,741,56,600,7,436,27,190,598,3,820,15,2390,10,18,29,87,4,1
"labels38",0,0,0,0,0,0,0,0,0,0,0,101,1,523,18,242,1,796,204,4,270,741,56,600,7,436,27,190,598,3,820,15,2390,10,18,29,87,4,4,108,17,1233,600,2,17,1,698,3465,2,3319,318,69,56,2843,1
"labels39",0,0,0,0,0,0,0,0,0,0,0,0,0,10,18,29,87,4,4,108,17,1233,600,2,17,1,698,3465,2,3319,318,69,56,2843,2,14,10,11119,43,546,11118,348,10,146,9,2162,3,453,112,354,151,69,56,2843,1
"labels40",3465,2,3319,318,69,56,2843,2,14,10,11119,43,546,11118,348,10,146,9,2162,3,453,112,354,151,69,56,2843,39,17,1,2843,118,1,45,17,748,5,1,155,78,10,1,1706,912,43,1197,5,1030,37,2207,155,214,353,708,1
"labels41",2162,3,453,112,354,151,69,56,2843,39,17,1,2843,118,1,45,17,748,5,1,155,78,10,1,1706,912,43,1197,5,1030,37,2207,155,214,353,708,2,9,22,2430,272,10,78,10,101,12,242,348,7,22,6,796,4,190,1
"labels42",1,45,17,748,5,1,155,78,10,1,1706,912,43,1197,5,1030,37,2207,155,214,353,708,2,9,22,2430,272,10,78,10,101,12,242,348,7,22,6,796,4,190,5,2016,3,25,5,2016,3,25,1,51,128,1837,342,953,1
"labels43",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,22,2430,272,10,78,10,101,12,242,348,7,22,6,796,4,190,5,2016,3,25,5,2016,3,25,1,51,128,1837,342,953,39,1243,39,17,38,566,1
"labels44",0,0,0,0,0,0,5,2016,3,25,5,2016,3,25,1,51,128,1837,342,953,39,1243,39,17,38,566,456,30,8,1698,217,60,12,42,359,2,5,1793,6,244,2249,295,112,32,88,121,482,230,5,23,2895,8,1014,55,1
"labels45",1793,6,244,2249,295,112,32,88,121,482,230,5,23,2895,8,1014,55,5,843,3530,1,640,74,3,1282,24,1066,90,25,94,2,90,73,650,1,523,7,62,42,47,369,57,3,233,24,31,3,1795,37,215,1795,741,56,2264,1
"labels46",32,88,121,482,230,5,23,2895,8,1014,55,5,843,3530,1,640,74,3,1282,24,1066,90,25,94,2,90,73,650,1,523,7,62,42,47,369,57,3,233,24,31,3,1795,37,215,1795,741,56,2264,541,5,199,2,123,145,1
"labels47",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,541,5,199,2,123,145,25,776,7,728,2146,1461,53,3,6,63,8,167,4047,427,1389,33,199,2,123,794,4385,12,19,5005,258,347,3123,1802,5,56,258,1
"labels48",53,3,6,63,8,167,4047,427,1389,33,199,2,123,794,4385,12,19,5005,258,347,3123,1802,5,56,258,2,1,523,7,62,42,47,369,57,3,139,1,148,4,53,3,56,496,5,124,741,56,290,3,82,108,357,86,258,1
"labels49",1,474,4,25,140,283,172,4,12,99,358,477,103,4,1,150,1212,10,546,22,88,698,1276,3,22,88,1717,13,21,1173,550,2,5,44,546,22,748,6,7842,661,449,11,1,1014,846,203,1,3544,4,681,193,1,119,69,1
"labels50",0,0,0,0,0,0,0,0,0,0,0,0,101,1477,14,681,9,22,388,1655,42,47,369,57,3,1,119,228,356,2,42,8,1,2603,116,42,3,69,154,393,383,3,199,2,123,59,42,101,1,35,129,507,48,232,1
"labels51",6,35,52,4,7347,507,1554,90,1730,2000,1143,2,3095,48,2,393,21,29,1087,3,208,4008,53,5,1,634,338,52,598,546,3446,5976,6,42,780,3,350,1,1477,14,681,232,205,13,617,1710,14,24,612,8,69,393,2,666,1
"labels52",13,617,1710,14,24,612,8,69,393,2,666,9,7,185,6,205,42,47,369,57,5,1,363,20,1949,393,566,225,5,5285,612,27,25,19,359,9,7,105,3,174,936,27,296,4,1,10546,2518,2,1,119,35,406,14,681,1
"labels53",226,3,384,5,6,571,1748,2938,26,11,649,13627,97,2,1046,60,161,73,111,5,1,83,546,2029,10,11,6,6785,1227,193,1,119,69,1,2019,2528,8,6,228,20,4,1348,11,3,1243,181,10,18,328,6,1300,8,1,286,0
"labels54",14898,698,353,3,1,2393,4,25,646,846,546,1849,5,3655,627,1,795,10,25,846,2,28,1,654,1212,10,17,208,1849,5,26,17,208,3187,203,1,3036,4,237,8228,391,39,17,1,867,4,35,134,2,1,867,4,67,236,0
"labels55",17,21,348,28,613,5,6,19,2,1617,172,4,1,83,18,815,1,5775,1398,4,1,1765,4,2312,22,2089,12,433,39,22,1967,250,3,174,9352,2,2029,190,1,691,9,1088,5,803,13,1,395,31,2,133,31,216,1,83,0
"labels56",5775,1398,4,1,1765,4,2312,22,2089,12,433,39,22,1967,250,3,174,9352,2,2029,190,1,691,9,1088,5,803,13,1,395,31,2,133,31,216,1,83,10,226,29,2099,14,59,21,353,21,26,226,29,2099,14,1,312,286,0
"labels57",2099,14,1,312,286,26,38,151,5580,1,433,4,188,95,26,11653,1,698,691,10,9,1088,9486,2,10,9,174,8,2349,78,1133,6,593,911,2,6379,2861,2,6,3747,1550,14,1,13628,17,538,3,3066,59,54,79,698,1358,1582,0
"labels58",223,181,4698,98,1978,89,26,11,49,190,830,29,11818,1227,190,1,1060,180,4,25,111,3,162,91,1271,26,18,190,25,268,4113,3,1,83,9,17,6,3293,463,12201,31,707,24,1514,14,6,72,3656,518,60,161,268,2735,149,0
"labels59",29,11818,1227,190,1,1060,180,4,25,111,3,162,91,1271,26,18,190,25,268,4113,3,1,83,9,17,6,3293,463,12201,31,707,24,1514,14,6,72,3656,518,60,161,268,2735,149,9,22,6,1276,400,4,3776,31,27,888,420,0
"labels60",354,182,9,2809,1,646,9,1090,158,26,9,22,734,6,486,1227,14,25,2,10,11,10,9,7,1658,12,1271,2,9,1090,2235,50,1383,3,25,111,95,9,1090,127,10,193,1,789,4,1,7479,8,44,188,22,841,88,6069,0
"labels61",6069,546,276,3,275,14,400,2218,8229,21,546,1565,146,546,11648,3,322,4,108,5,737,59,2406,25,795,2218,8229,3,1,1185,2,147,4,1,1693,119,3172,50,22,38,151,88,483,12,1271,95,1128,433,5,1,337,4,1001,26,0
"labels62",119,3172,50,22,38,151,88,483,12,1271,95,1128,433,5,1,337,4,1001,26,201,10,18,1,670,4,59,3,1,83,9,7,16,3551,9,7,861,433,9,7,56,8,31,95,9,7,2235,2,5190,2877,50,1383,3,25,111,0
"labels63",0,0,0,0,0,0,0,0,0,0,201,10,18,1,670,4,59,3,1,83,9,7,16,3551,9,7,861,433,9,7,56,8,31,95,9,7,2235,2,5190,2877,50,1383,3,25,111,2,845,112,11,1,867,4,67,236,0
"labels64",1212,95,1,103,2514,546,92,47,140,92,16,257,92,2120,3,1,768,984,248,295,21,8146,21,3448,7,2055,540,182,51,8065,3808,348,7,22,1206,3,1206,51,20,112,7,16,29,2224,745,4,484,7411,4,1,333,959,4,59,0
"labels65",10,11,1,1153,4,1,1674,4,1,119,64,5,1,57,1043,2218,2137,1,374,315,2,6,926,57,32,88,29,8990,4,3248,4700,2,3248,335,8,2850,2,8,1,615,4,2218,1738,2,26,32,88,2,26,841,7,16,6,1738,0
"labels66",2,147,9899,3,121,103,449,895,5,59,546,5341,146,546,3964,5,1,845,7008,5,2570,4,14,1,8309,10,9,1974,1,646,2,546,5003,3,246,2218,28,3,40,8,1,31,4,59,2,546,1946,845,10,546,92,3173,8,616,0
"labels67",69,3853,193,91,1680,1,489,3,464,428,219,901,5,1,57,1043,546,2561,15,4113,10,25,226,1,198,111,5,1,83,5,44,3,384,2,546,896,2782,322,4,1,480,9,22,3,68,26,428,6,97,275,5,44,3,384,0
"labels68",3,384,2,546,896,2782,322,4,1,480,9,22,3,68,26,428,6,97,275,5,44,3,384,2938,546,896,88,5,1428,201,8,6,204,4,57,546,22,920,4085,6,219,1657,4,6298,8864,2,8230,359,3,1,1666,10,3639,1043,0
"labels69",95,546,630,49,15,2331,428,24,2520,60,10,2,10,11,1,3024,4,1,119,31,1,2514,10,4346,2850,140,5,41,200,11,1,3024,4,1,119,31,23,491,489,3,918,98,3,284,73,2,40,407,146,112,11,6,803,925,0
"labels70",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2514,10,4346,2850,140,5,41,200,11,1,3024,4,1,119,31,23,491,489,3,918,98,3,284,73,2,40,407,146,112,11,6,803,925,23,524,7479,2,23,4447,0
"labels71",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,491,489,3,918,98,3,284,73,2,40,407,146,112,11,6,803,925,23,524,7479,2,23,4447,23,6038,3,22,6,499,0
"labels72",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,524,7479,2,23,4447,23,6038,3,22,6,499,23,6038,3,1189,318,79,5,1,69,50,17,3593,5,74,4,82,0
"labels73",0,0,0,0,0,0,0,0,0,0,95,2129,3,347,4,616,10,39,127,23,5365,8,1,803,265,2,546,22,29,13170,2448,10,9,7,425,12,267,54,21,6,268,86,221,491,3065,9,1090,425,26,54,295,4,12,3024,0
"labels74",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,546,22,29,13170,2448,10,9,7,425,12,267,54,21,6,268,86,221,491,3065,9,1090,425,26,54,295,4,12,3024,546,276,3,16,172,4,10,2614,54,0
"labels75",0,0,0,0,0,0,9,17,1,128,10,2958,1,3344,159,759,59,2,1,589,118,12,35,1281,226,7995,9353,57,1748,2218,491,10547,6104,3997,1,228,35,128,13,6,744,8,59,972,734,6,35,744,4,6,302,2,401,111,0
"labels76",32,2089,2430,314,95,1,35,128,18,744,8,12,111,11,24,1181,2,283,60,747,722,1398,22,2201,10,1,102,421,4,1,20,84,649,16,35,512,2,134,9,613,10,1,151,267,3,153,67,751,11,3,1540,14,654,767,0
"labels77",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,348,613,9,910,10548,1,312,286,21,29,6105,5,86,502,4,5837,95,9,17,38,395,348,613,9,910,10548,1,303,128,21,29,6105,5,20,0
"labels78",0,0,0,0,0,0,0,0,0,0,348,613,9,910,10548,1,303,128,21,29,6105,5,20,95,9,17,38,1,303,128,348,613,9,17,1,35,128,2,9,910,8,123,59,8,1,31,2,71,2,93,1195,12,342,533,0
"labels79",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,35,128,5,20,32,1475,13,12,523,908,3,174,1,573,534,10,86,502,22,5630,9,17,483,12,1271,203,1,31,5067,9,3964,53,8,1,1115,31,0
"labels80",172,4,250,28,2,22,7009,12,35,3545,1,414,5,20,22,923,115,47,1,587,315,57,5,47,123,383,546,22,388,1306,12,274,589,225,44,11,6,359,4,42,47,369,57,3,62,6,3,82,123,71,464,141,2,65,0
"labels81",0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,71,22,444,12,123,876,225,44,11,594,1274,3,153,19,110,194,2,130,23,76,3,45,8,719,1,11821,406,5,32,2144,3,3887,6,19,2706,18,4158,2,2265,1
"labels82",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,130,23,76,3,45,8,719,1,11821,406,5,32,2144,3,3887,6,19,2706,18,4158,2,2265,10814,10406,2,1,51,128,22,1306,39,92,3949,25,225,21,181,1
"labels83",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,523,7,871,42,3,628,1,776,44,7,201,319,1,65,4,219,156,2,528,194,9,17,6693,1264,1,2163,4,1123,5,199,145,1
"labels84",1966,9,17,1777,1829,19,2329,100,164,123,59,295,167,50,1434,23,148,5,199,145,17,1112,3,724,112,1,35,128,11,445,2280,190,1,56,4,574,188,2,26,11,6,698,283,867,784,5,1,13,91,142,1637,4,4435,31,1
"labels85",50,1434,23,148,5,199,145,17,1112,3,724,112,1,35,128,11,445,2280,190,1,56,4,574,188,2,26,11,6,698,283,867,784,5,1,13,91,142,1637,4,4435,31,1,523,32,1655,47,741,56,600,5,145,4,74,314,1
"labels86",0,0,1,523,32,1655,47,741,56,600,5,145,4,74,314,820,659,4,1,342,55,9,17,254,8,741,56,290,2,45,11,877,3,123,145,9,22,388,1306,10,9,17,304,24,60,42,47,369,57,3,130,199,2264,45,1
"labels87",820,659,4,1,342,55,9,17,254,8,741,56,290,2,45,11,877,3,123,145,9,22,388,1306,10,9,17,304,24,60,42,47,369,57,3,130,199,2264,45,2,1,414,7,34,10,741,56,2264,3923,91,510,4,20,55,1
"labels88",3,130,199,2264,45,2,1,414,7,34,10,741,56,2264,3923,91,510,4,20,55,769,32,2201,10,1603,741,56,290,5,123,59,43,863,26,573,3,2121,1,603,342,143,295,4,1,1385,489,4,1602,3,157,1188,3043,2,1097,1
"labels89",10,1,523,7,62,42,5,244,342,55,47,369,57,8,199,123,2,322,759,5582,741,56,290,12,55,7,34,10,1603,123,71,43,173,1032,2,476,741,56,404,78,23,574,1602,43,1197,5,1,1274,118,39,22,1028,23,433,1
"labels90",244,342,55,47,369,57,8,199,123,2,322,759,5582,741,56,290,12,55,7,34,10,1603,123,71,43,173,1032,2,476,741,56,404,78,23,574,1602,43,1197,5,1,1274,118,39,22,1028,23,433,123,59,2391,3332,14,412,206,1
"labels91",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,689,1,237,733,22,1718,5287,9,17,673,9,261,5,289,123,59,295,26,11,1,997,4,12,268,0
"labels92",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,17,673,9,261,5,289,123,59,295,26,11,1,997,4,12,268,9,676,27,123,59,2,9,1125,26,0
"labels93",1,833,261,10,616,32,6,180,3,2015,142,152,36,56,1559,4,23,143,1,10229,2,140,712,267,3,464,25,11,54,1,41,36,52,9,1577,30,865,2,1557,29,87,5,1,865,1560,3,1158,524,45,10,17,38,5579,2549,1
"labels94",712,267,3,464,25,11,54,1,41,36,52,9,1577,30,865,2,1557,29,87,5,1,865,1560,3,1158,524,45,10,17,38,5579,2549,86,45,319,8865,8404,1424,145,4,256,36,2,1087,2,5144,4920,10,22,88,1859,3,16,352,1
"labels95",1577,30,865,2,1557,29,87,5,1,865,1560,3,1158,524,45,10,17,38,5579,2549,86,45,319,8865,8404,1424,145,4,256,36,2,1087,2,5144,4920,10,22,88,1859,3,16,352,1,833,7,1175,1,115,72,2061,179,36,549,2367,1
"labels96",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,833,7,1175,1,115,72,2061,179,36,549,2367,1,293,3289,7,16,6948,3,118,26,11,140,538,41,36,61,2828,671,2,475,12,291,3,36,56,11,4290,1
"labels97",0,0,1,293,3289,7,16,6948,3,118,26,11,140,538,41,36,61,2828,671,2,475,12,291,3,36,56,11,4290,25,299,2155,14,5366,1,1838,4,2027,36,114,21,330,2713,126,47,40,37,1118,4,40,2,738,2,169,880,1
"labels98",0,0,0,0,0,0,0,0,0,12,291,3,36,56,11,4290,25,299,2155,14,5366,1,1838,4,2027,36,114,21,330,2713,126,47,40,37,1118,4,40,2,738,2,169,880,1,1378,159,330,2,1310,2,6730,1853,11,181,520,1
"labels99",0,0,0,25,299,2155,14,5366,1,1838,4,2027,36,114,21,330,2713,126,47,40,37,1118,4,40,2,738,2,169,880,1,1378,159,330,2,1310,2,6730,1853,11,181,520,1,140,5483,719,5,59,11,1,6183,36,4,441,1431,1
"labels100",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,140,5483,719,5,59,11,1,6183,36,4,441,1431,9900,25,11,6,421,8,1,833,1804,1
"labels101",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,833,276,3,425,1,52,230,1114,2,444,3,62,3237,41,45,5,36,48,2,73,145,9,49,1854,3,162,1,214,15,3648,515,2,880,1
"labels102",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1557,6,35,1145,481,266,5712,1357,4,371,2585,2030,53,3,1,558,228,443,95,121,380,60,1,228,430,6,205,1357,4,2838,481,1
"labels103",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,92,62,2585,2030,8,140,147,1158,150,31,135,21,11123,14,1017,5,3888,40,2,1,665,1417,285,908,3,510,1,851,4,481,1
"labels104",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285,908,3,510,1,851,4,481,2,1158,9100,99,358,1
"labels105",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1494,1,268,18,67,915,1893,405,5,41,45,10,218,616,1,221,99,358,52,4025,3,743,10,112,11,38,979,371,40,8,616,1
"labels106",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,10,112,17,73,4730,922,3,883,3,238,1,833,30,1,2294,4,6,1688,921,143,266,26,92,16,245,33,6,209,10,1734,31,3,458,1315,5,238,1
"labels107",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,833,30,1,2294,4,6,1688,921,143,266,26,92,16,245,33,6,209,10,1734,31,3,458,1315,5,238,2,92,16,1182,3,233,2640,3,1640,143,1
